number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
80,11093.402777777777,2025-06-07 02:44:45.861118,2025-06-07 02:45:09.142941,0 days 00:00:23.281823,850,True,0.4000020888400768,937,921,True,"[0.7495366685591074, 0.017422518892552908, 0.06784503171287472, 0.165195780835465]",COMPLETE
81,11183.347222222223,2025-06-07 02:45:09.143646,2025-06-07 02:46:05.445883,0 days 00:00:56.302237,864,True,0.580919765812719,106,53,True,"[0.0462467209585297, 0.14665015171410048, 0.5778610276176079, 0.22924209970976184]",COMPLETE
82,11186.319444444445,2025-06-07 02:46:05.446146,2025-06-07 02:46:45.935566,0 days 00:00:40.489420,476,False,0.9790024016896247,124,57,False,"[0.1253226728959432, 0.4172241203412641, 0.1977405425796255, 0.2597126641831672]",COMPLETE
83,11184.527777777777,2025-06-07 02:46:45.936036,2025-06-07 02:47:46.650572,0 days 00:01:00.714536,410,True,0.3450286911207566,406,272,False,"[0.13705655059779767, 0.04729948547195923, 0.6763453271656787, 0.13929863676456436]",COMPLETE
84,11184.819444444445,2025-06-07 02:47:46.651031,2025-06-07 02:48:06.728803,0 days 00:00:20.077772,618,True,0.6531143187914097,79,65,False,"[0.210966930109274, 0.0869393392426761, 0.22787210079428336, 0.47422162985376665]",COMPLETE
85,11183.888888888889,2025-06-07 02:48:06.729304,2025-06-07 02:53:09.723824,0 days 00:05:02.994520,411,False,0.7367797341112844,328,10,True,"[0.007896193154026818, 0.20949632623263423, 0.20229765377688158, 0.5803098268364574]",COMPLETE
86,11175.541666666666,2025-06-07 02:53:09.724344,2025-06-07 02:53:31.509660,0 days 00:00:21.785316,960,True,0.03013185437921543,112,97,True,"[0.5070678787403076, 0.07773277476226934, 0.20112943152758364, 0.21406991496983938]",COMPLETE
87,11186.777777777777,2025-06-07 02:53:31.510030,2025-06-07 02:53:42.802756,0 days 00:00:11.292726,198,True,0.8420913089594726,28,14,False,"[0.029673387814898335, 0.32234443761975845, 0.15988374752610168, 0.4880984270392416]",COMPLETE
88,11187.277777777777,2025-06-07 02:53:42.803154,2025-06-07 02:53:58.129618,0 days 00:00:15.326464,229,False,0.0670171631927208,109,29,False,"[0.07823334379426898, 0.7277063701372117, 0.16291205538882556, 0.03114823067969382]",COMPLETE
89,11182.125,2025-06-07 02:53:58.129881,2025-06-07 02:58:46.647096,0 days 00:04:48.517215,776,False,0.2001969498358741,462,71,False,"[0.146144593132983, 0.7396180172010937, 0.08894540090550491, 0.025291988760418424]",COMPLETE
90,11186.527777777777,2025-06-07 02:58:46.647490,2025-06-07 03:18:38.459023,0 days 00:19:51.811533,754,False,0.894899908627783,928,27,False,"[0.36764219875361953, 0.14132065630960094, 0.1001468568825742, 0.3908902880542053]",COMPLETE
91,11179.916666666666,2025-06-07 03:18:38.459493,2025-06-07 03:20:45.506291,0 days 00:02:07.046798,762,True,0.3766363768839625,371,186,False,"[0.4183701064402782, 0.31959568658388393, 0.2239485961847042, 0.03808561079113365]",COMPLETE
92,11186.611111111111,2025-06-07 03:20:45.506761,2025-06-07 03:23:46.443788,0 days 00:03:00.937027,284,False,0.16052559628048294,529,62,False,"[0.6908974398735883, 0.009054252814272261, 0.04181694289694819, 0.2582313644151913]",COMPLETE
93,11182.569444444445,2025-06-07 03:23:46.444292,2025-06-07 03:23:56.986002,0 days 00:00:10.541710,617,True,0.7191809175266036,90,79,False,"[0.4429818403139518, 0.13447475231266423, 0.22370020985872674, 0.1988431975146572]",COMPLETE
94,11167.125,2025-06-07 03:23:56.986766,2025-06-07 03:29:55.317729,0 days 00:05:58.330963,932,True,0.8766439915957713,526,141,False,"[0.1131014124720423, 0.41075015940034953, 0.44103519984905654, 0.03511322827855159]",COMPLETE
95,11177.375,2025-06-07 03:29:55.318015,2025-06-07 03:36:03.393888,0 days 00:06:08.075873,861,False,0.3364300618670876,464,206,True,"[0.3841626031581313, 0.19209680706418983, 0.26346354510555314, 0.1602770446721257]",COMPLETE
96,11029.347222222223,2025-06-07 03:36:03.394624,2025-06-07 03:42:36.576759,0 days 00:06:33.182135,967,True,0.24539970046125922,794,536,True,"[0.2549482731446519, 0.07760252379441743, 0.3550935991549653, 0.3123556039059653]",COMPLETE
97,11096.930555555555,2025-06-07 03:42:36.577379,2025-06-07 03:44:25.155953,0 days 00:01:48.578574,459,False,0.8435464916299181,499,388,True,"[0.08364489878153397, 0.3026441617493427, 0.17132045996536305, 0.4423904795037602]",COMPLETE
98,11165.458333333334,2025-06-07 03:44:25.156542,2025-06-07 03:44:43.416993,0 days 00:00:18.260451,111,True,0.07620835094517366,164,50,True,"[0.2280160263639346, 0.5907474025326829, 0.03157632081270135, 0.1496602502906813]",COMPLETE
99,11150.416666666666,2025-06-07 03:44:43.417570,2025-06-07 03:44:52.806458,0 days 00:00:09.388888,601,True,0.9316960814496258,126,122,False,"[0.11593617449540732, 0.07208951028397963, 0.2756226745166276, 0.5363516407039856]",COMPLETE
