instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,gvns,hh_rand,hh_greedy,ga_w_nn,state_of_art,our_nearest neighbor,our_genetic_algorithm,our_genetic_algorithm_w_nn,gap
hk48,48,1176,TSP,TRUE,0.25,12,2827,2827,2827,2827,2827,2174,2567,1787,36.79%
gr21,21,231,TSP,FALSE,0.5,10,,,,683,683,1160,840,639,6.44%
hk48,48,1176,TSP,TRUE,0.5,24,4701,4701,4701,4701,4701,6836,10654,3978,15.38%
gr229,229,26335,TSP,FALSE,0.5,114,,,,41661,41661,59287,505375,44102,-5.86%
hk48,48,1176,TSP,TRUE,0.75,36,7311,7326,7278,7278,7278,10140,22346,7534,-3.52%
kro124p,100,10000,ATSP,FALSE,0.25,25,,,,,,7882,26742,7380,
kro124p,100,10000,ATSP,TRUE,0.25,25,,,,,,9637,23956,8119,
kro124p,100,10000,ATSP,FALSE,0.5,50,,,,,,17429,61976,16462,
kro124p,100,10000,ATSP,TRUE,0.5,50,,,,,,19263,64153,18521,
kro124p,100,10000,ATSP,FALSE,0.75,75,,,,,,28117,103655,27044,
kro124p,100,10000,ATSP,TRUE,0.75,75,,,,,,30703,105905,27651,
gr24,24,300,TSP,FALSE,0.5,12,,,,396,396,458,592,376,5.05%
kroA100,100,5050,TSP,TRUE,0.25,25,4998,4970,4998,5203,4970,5798,20759,5154,-3.70%
gr431,431,93096,TSP,FALSE,0.5,215,,,,,,54451,969267,38608,
kroA100,100,5050,TSP,TRUE,0.5,50,9335,9184,9184,10050,9184,11611,57431,10130,-10.30%
gr48,48,1176,TSP,FALSE,0.5,24,,,,1691,1691,2744,5486,1565,7.45%
kroA100,100,5050,TSP,TRUE,0.75,75,15418,14492,14500,14492,14492,19252,96470,15881,-9.58%
gr666,666,222111,TSP,FALSE,0.5,333,,,,,,138007,2235254,97052,
kroA150,150,11325,TSP,TRUE,0.25,37,5725,5690,5690,5690,5690,7017,36635,5654,0.63%
gr96,96,4656,TSP,FALSE,0.5,48,,,,17634,17634,26020,118881,19990,-13.36%
kroA150,150,11325,TSP,TRUE,0.5,75,12166,11625,11812,11625,11625,15457,91040,12706,-9.30%
hk48,48,1176,TSP,FALSE,0.5,24,,,,4238,4238,5038,10574,3809,10.12%
kroA150,150,11325,TSP,TRUE,0.75,112,19192,18210,18917,18295,18210,23635,152460,18832,-3.42%
kroA100,100,5050,TSP,FALSE,0.5,50,,,,9073,9073,10253,52029,8921,1.68%
kroA200,200,20100,TSP,TRUE,0.25,50,6438,6202,6272,6202,6202,8304,57022,6688,-7.84%
