number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
52,11305.347222222223,2025-05-25 05:16:10.943006,2025-05-25 05:16:37.076572,0 days 00:00:26.133566,139,False,0.6182432989937224,21,3,True,"[0.23697815519260423, 0.44341310638748455, 0.3150803974118721, 0.004528341008039095]",COMPLETE
53,10993.833333333334,2025-05-25 05:16:37.077035,2025-05-25 05:20:09.322737,0 days 00:03:32.245702,643,True,0.06617359873747665,495,489,False,"[0.0004927165070920096, 0.45828101136498844, 0.16127564734081787, 0.3799506247871016]",COMPLETE
54,11032.152777777777,2025-05-25 05:20:09.324232,2025-05-25 05:29:30.220459,0 days 00:09:20.896227,253,True,0.4242408104589776,669,346,True,"[0.05396021613219965, 0.7440700801326436, 0.08936609165537134, 0.11260361207978539]",COMPLETE
55,10955.416666666666,2025-05-25 05:29:30.220903,2025-05-25 05:35:39.235901,0 days 00:06:09.014998,367,False,0.046915296265522335,831,768,False,"[0.17220768401903397, 0.7651858122859718, 0.0323021039555123, 0.030304399739481746]",COMPLETE
56,11024.986111111111,2025-05-25 05:35:39.236310,2025-05-25 06:22:12.900106,0 days 00:46:33.663796,970,True,0.9910272209276452,906,269,True,"[0.5288877066741169, 0.010735107055006276, 0.22190075382979974, 0.23847643244107702]",COMPLETE
57,11143.680555555555,2025-05-25 06:22:12.900538,2025-05-25 06:23:17.755963,0 days 00:01:04.855425,693,False,0.880956771909172,67,49,False,"[0.6129665589070005, 0.14342454739614893, 0.0849285982734962, 0.1586802954233545]",COMPLETE
58,11117.75,2025-05-25 06:23:17.757988,2025-05-25 06:26:09.594535,0 days 00:02:51.836547,245,True,0.30485947056256485,180,81,False,"[0.23437479792722374, 0.2532835836116577, 0.33584003929057943, 0.17650157917053902]",COMPLETE
59,10958.638888888889,2025-05-25 06:26:09.594968,2025-05-25 06:34:30.069485,0 days 00:08:20.474517,638,False,0.7502633321625792,869,817,True,"[0.2473255298533926, 0.49395871004958636, 0.11233060003358218, 0.14638516006343896]",COMPLETE
60,11097.847222222223,2025-05-25 06:34:30.070028,2025-05-25 06:39:46.308689,0 days 00:05:16.238661,80,False,0.41765140204641976,300,46,False,"[0.272440352690174, 0.007440661191470624, 0.06051750081920733, 0.6596014852991479]",COMPLETE
61,11026.013888888889,2025-05-25 06:39:46.310771,2025-05-25 07:08:52.167401,0 days 00:29:05.856630,969,True,0.5920459579243131,551,152,True,"[0.2842763125397185, 0.26960563594559467, 0.2867307450551143, 0.15938730645957244]",COMPLETE
62,11089.805555555555,2025-05-25 07:08:52.168053,2025-05-25 07:21:00.110146,0 days 00:12:07.942093,461,False,0.5058546510576577,408,102,False,"[0.34082185977299806, 0.22945514237933023, 0.2634271916614918, 0.1662958061861797]",COMPLETE
63,10956.347222222223,2025-05-25 07:21:00.110572,2025-05-25 07:28:52.802395,0 days 00:07:52.691823,340,False,0.049592915383577484,925,797,False,"[0.04910921078893658, 0.2929254284435823, 0.6345012690375903, 0.023464091729890987]",COMPLETE
64,11042.027777777777,2025-05-25 07:28:52.802736,2025-05-25 07:49:55.750726,0 days 00:21:02.947990,743,False,0.710107345916901,684,426,False,"[0.42073291843295285, 0.23337333063675939, 0.11861073851108714, 0.2272830124192008]",COMPLETE
65,11108.972222222223,2025-05-25 07:49:55.751232,2025-05-25 07:59:57.040995,0 days 00:10:01.289763,548,False,0.709916155316265,290,9,False,"[0.029112107780899333, 0.6258665185969662, 0.25677055308417757, 0.08825082053795695]",COMPLETE
66,11086.25,2025-05-25 07:59:57.041436,2025-05-25 08:04:42.527945,0 days 00:04:45.486509,98,True,0.3429257623729071,412,10,True,"[0.7485255786275625, 0.124607809884062, 0.012663692012428967, 0.1142029194759465]",COMPLETE
67,10980.138888888889,2025-05-25 08:04:42.528394,2025-05-25 08:28:55.503723,0 days 00:24:12.975329,581,False,0.9479632986790664,699,470,True,"[0.37261867199997345, 0.08321318531130033, 0.12460840660289302, 0.4195597360858333]",COMPLETE
