x_iters,func_vals,population_size,generations,mutation_rate,selection_size,has_variable_mutate_rate,mutation_op_prob_1,mutation_op_prob_2,mutation_op_prob_3,mutation_op_prob_4,total,normalized_mutation_op_prob_1,normalized_mutation_op_prob_2,normalized_mutation_op_prob_3,normalized_mutation_op_prob_4,best_func_val
"[np.int64(250), np.int64(250), 0.01, np.int64(40), np.True_, 0.0, 0.0, 1.0]",449301.0,250,250,0.01,40,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,448750.0
"[np.int64(250), np.int64(250), 0.01, np.int64(40), np.True_, 0.0, 0.0, 0.0]",451218.0,250,250,0.01,40,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,448750.0
"[np.int64(250), np.int64(50), 0.01, np.int64(40), np.True_, 0.0, 1.0, 1.0]",448447.0,250,50,0.01,40,True,0.0,1.0,1.0,0.0,2.0,0.0,0.5,0.5,0.0,448447.0
"[np.int64(50), np.int64(238), 0.07287287527360488, np.int64(8), np.False_, 0.012985440355726578, 0.9243537477789645, 0.3572178735639076]",453905.0,50,238,0.07287287527360488,8,False,0.012985440355726578,0.9243537477789645,0.3572178735639076,0.0,1.2945570616985986,0.01003079797709981,0.7140309030226235,0.2759382990002767,0.0,448447.0
"[np.int64(160), np.int64(116), 0.01613677081316306, np.int64(9), np.True_, 0.008464935974983769, 0.05759745415193486, 0.9214673457982393]",451204.0,160,116,0.01613677081316306,9,True,0.008464935974983769,0.05759745415193486,0.9214673457982393,0.012470264074842086,1.0,0.008464935974983769,0.05759745415193486,0.9214673457982393,0.012470264074842086,448447.0
"[np.int64(250), np.int64(250), 0.01, np.int64(40), np.True_, 0.0, 1.0, 1.0]",450647.0,250,250,0.01,40,True,0.0,1.0,1.0,0.0,2.0,0.0,0.5,0.5,0.0,448447.0
"[np.int64(143), np.int64(235), 0.01667181823554495, np.int64(6), np.False_, 0.9607480092845152, 0.12736844486703927, 0.9630557087293286]",450091.0,143,235,0.01667181823554495,6,False,0.9607480092845152,0.12736844486703927,0.9630557087293286,0.0,2.051172162880883,0.46838974644387676,0.06209544336256473,0.4695148101935584,0.0,448447.0
"[np.int64(250), np.int64(50), 0.01, np.int64(40), np.True_, 0.0, 0.0, 1.0]",451329.0,250,50,0.01,40,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,448447.0
"[np.int64(250), np.int64(50), 0.01, np.int64(5), np.False_, 0.0, 1.0, 1.0]",450729.0,250,50,0.01,5,False,0.0,1.0,1.0,0.0,2.0,0.0,0.5,0.5,0.0,448447.0
"[np.int64(250), np.int64(50), 0.01, np.int64(5), np.True_, 0.0, 1.0, 1.0]",448627.0,250,50,0.01,5,True,0.0,1.0,1.0,0.0,2.0,0.0,0.5,0.5,0.0,448447.0
"[np.int64(187), np.int64(232), 0.010177088706143712, np.int64(33), np.True_, 0.9651132588048912, 0.3101148035584664, 0.9994262967125731]",451260.0,187,232,0.010177088706143712,33,True,0.9651132588048912,0.3101148035584664,0.9994262967125731,0.0,2.2746543590759307,0.4242900706887901,0.13633491274008297,0.4393750165711269,0.0,448447.0
"[np.int64(194), np.int64(139), 0.010022729461709111, np.int64(24), np.False_, 0.4248183375086114, 0.32386928867788084, 0.9969133566687434]",451131.0,194,139,0.010022729461709111,24,False,0.4248183375086114,0.32386928867788084,0.9969133566687434,0.0,1.7456009828552357,0.24336508840281856,0.18553454761931676,0.5711003639778647,0.0,448447.0
"[np.int64(50), np.int64(60), 0.09677475148405895, np.int64(6), np.True_, 0.5825889903370413, 0.9471445204781648, 0.9726734705404698]",453941.0,50,60,0.09677475148405895,6,True,0.5825889903370413,0.9471445204781648,0.9726734705404698,0.0,2.5024069813556755,0.23281144700988027,0.37849339757078626,0.38869515541933364,0.0,448447.0
"[np.int64(250), np.int64(50), 0.01, np.int64(5), np.True_, 0.0, 0.0, 1.0]",450993.0,250,50,0.01,5,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,448447.0
"[np.int64(250), np.int64(250), 0.01, np.int64(5), np.True_, 0.0, 1.0, 1.0]",449971.0,250,250,0.01,5,True,0.0,1.0,1.0,0.0,2.0,0.0,0.5,0.5,0.0,448447.0
"[np.int64(174), np.int64(216), 0.09851086641324686, np.int64(17), np.False_, 0.4498410072998318, 0.040011402091929334, 0.9847932773483237]",451149.0,174,216,0.09851086641324686,17,False,0.4498410072998318,0.040011402091929334,0.9847932773483237,0.0,1.4746456867400848,0.3050502309434544,0.02713289195615542,0.6678168771003902,0.0,448447.0
"[np.int64(146), np.int64(53), 0.010514978651526627, np.int64(31), np.False_, 0.046791508468080785, 0.9633396373774684, 0.03633933715867899]",452222.0,146,53,0.010514978651526627,31,False,0.046791508468080785,0.9633396373774684,0.03633933715867899,0.0,1.0464704830042284,0.04471364384187004,0.9205607353700925,0.03472562078803723,0.0,448447.0
"[np.int64(191), np.int64(220), 0.09983794717950104, np.int64(30), np.True_, 0.07807855315315972, 0.8022348645721303, 0.9929486122871661]",450851.0,191,220,0.09983794717950104,30,True,0.07807855315315972,0.8022348645721303,0.9929486122871661,0.0,1.873262030012456,0.04168052941992346,0.42825555192980447,0.5300639186502721,0.0,448447.0
"[np.int64(250), np.int64(55), 0.010330162312588554, np.int64(26), np.False_, 0.49385268307885055, 0.4427400712978572, 0.9885875015677459]",450865.0,250,55,0.010330162312588554,26,False,0.49385268307885055,0.4427400712978572,0.9885875015677459,0.0,1.9251802559444537,0.2565228276957248,0.22997330765822654,0.5135038646460486,0.0,448447.0
"[np.int64(249), np.int64(190), 0.08713463781441673, np.int64(9), np.False_, 0.8300041660296618, 0.3839732323593036, 0.9971649323231312]",450949.0,249,190,0.08713463781441673,9,False,0.8300041660296618,0.3839732323593036,0.9971649323231312,0.0,2.2111423307120965,0.3753734685013966,0.17365378385010852,0.45097274764849493,0.0,448447.0
"[np.int64(208), np.int64(197), 0.011238327660548811, np.int64(26), np.False_, 0.9938929833373616, 0.43061035037123396, 0.9908377847315647]",449807.0,208,197,0.011238327660548811,26,False,0.9938929833373616,0.43061035037123396,0.9908377847315647,0.0,2.41534111844016,0.4114917664214746,0.17828138107851382,0.4102268525000116,0.0,448447.0
"[np.int64(182), np.int64(70), 0.09969448597391557, np.int64(19), np.False_, 0.4123007265462971, 0.729797460483288, 0.9942913595135094]",451556.0,182,70,0.09969448597391557,19,False,0.4123007265462971,0.729797460483288,0.9942913595135094,0.0,2.1363895465430947,0.1929894888380462,0.3416031789072259,0.46540733225472786,0.0,448447.0
"[np.int64(249), np.int64(242), 0.09995222989379213, np.int64(18), np.True_, 0.8290786714036849, 0.5405497048564755, 0.10468610901758682]",451192.0,249,242,0.09995222989379213,18,True,0.8290786714036849,0.5405497048564755,0.10468610901758682,0.0,1.4743144852777472,0.5623485895870406,0.366644776439703,0.07100663397325634,0.0,448447.0
"[np.int64(163), np.int64(55), 0.01017593631333745, np.int64(21), np.True_, 0.22644082227516987, 0.8778626837616365, 0.007352139953779703]",451051.0,163,55,0.01017593631333745,21,True,0.22644082227516987,0.8778626837616365,0.007352139953779703,0.0,1.111655645990586,0.20369691198157913,0.7896894033038272,0.006613684714593682,0.0,448447.0
"[np.int64(51), np.int64(232), 0.013558454871678463, np.int64(27), np.True_, 0.14011576849459398, 0.35883916164445756, 0.01800953303244313]",453865.0,51,232,0.013558454871678463,27,True,0.14011576849459398,0.35883916164445756,0.01800953303244313,0.4830355368285053,1.0,0.14011576849459398,0.35883916164445756,0.01800953303244313,0.4830355368285053,448447.0
"[np.int64(210), np.int64(190), 0.012376549225805474, np.int64(19), np.False_, 0.7556568977941672, 0.4780682852021836, 0.9956617172885832]",450408.0,210,190,0.012376549225805474,19,False,0.7556568977941672,0.4780682852021836,0.9956617172885832,0.0,2.229386900284934,0.33895278459633366,0.21443935332224412,0.4466078620814222,0.0,448447.0
"[np.int64(198), np.int64(143), 0.011023767955101339, np.int64(30), np.True_, 0.7853798514588092, 0.7646837071460493, 0.9786662244427252]",451501.0,198,143,0.011023767955101339,30,True,0.7853798514588092,0.7646837071460493,0.9786662244427252,0.0,2.528729783047584,0.3105827505666826,0.3023983472937409,0.38701890213957646,0.0,448447.0
"[np.int64(250), np.int64(146), 0.09403953316137272, np.int64(14), np.True_, 0.18871332591632634, 0.5056205999193781, 0.9969399243570867]",451452.0,250,146,0.09403953316137272,14,True,0.18871332591632634,0.5056205999193781,0.9969399243570867,0.0,1.691273850192791,0.11158058518720347,0.29895844476146877,0.5894609700513278,0.0,448447.0
"[np.int64(250), np.int64(50), 0.01, np.int64(40), np.False_, 0.0, 1.0, 1.0]",451029.0,250,50,0.01,40,False,0.0,1.0,1.0,0.0,2.0,0.0,0.5,0.5,0.0,448447.0
"[np.int64(250), np.int64(250), 0.01, np.int64(5), np.False_, 0.0, 1.0, 1.0]",450224.0,250,250,0.01,5,False,0.0,1.0,1.0,0.0,2.0,0.0,0.5,0.5,0.0,448447.0
"[np.int64(145), np.int64(135), 0.09948393793738626, np.int64(20), np.False_, 0.8881765053988748, 0.7225970631369876, 0.010736812391637375]",451818.0,145,135,0.09948393793738626,20,False,0.8881765053988748,0.7225970631369876,0.010736812391637375,0.0,1.6215103809274998,0.5477464195393187,0.4456320919288003,0.0066214885318809655,0.0,448447.0
"[np.int64(125), np.int64(51), 0.0986762076465264, np.int64(8), np.True_, 0.5544170495905447, 0.23898570732813101, 0.9909267941664]",452312.0,125,51,0.0986762076465264,8,True,0.5544170495905447,0.23898570732813101,0.9909267941664,0.0,1.7843295510850756,0.3107144917559629,0.13393585685043466,0.5553496513936025,0.0,448447.0
"[np.int64(250), np.int64(76), 0.09970208998576292, np.int64(16), np.True_, 0.3314958058297018, 0.911791689195212, 0.09490494952013054]",450557.0,250,76,0.09970208998576292,16,True,0.3314958058297018,0.911791689195212,0.09490494952013054,0.0,1.3381924445450444,0.24771908344050095,0.6813606614743674,0.07092025508513172,0.0,448447.0
