instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,worst_nearest_neighbors,avg_nearest_neighbors,best_nearest_neighbors,worst_genetic_algorithm,avg_genetic_algorithm,best_genetic_algorithm,worst_ensemble,avg_ensemble,best_ensemble,worst_solution,avg_solution,best_solution
dantzig42.tsp,42,903,TSP,true,0.5,21,311,311.0,311,695,610.8,555,244,244.0,244,695,421.85714285714283,244
dantzig42.tsp,42,903,TSP,true,0.75,31,571,571.0,571,1305,1228.1,1120,437,437.0,437,1305,820.0952380952381,437
eil101.tsp,101,5151,TSP,false,0.25,25,113,113.0,113,404,363.6,308,92,92.0,92,404,222.33333333333334,92
eil101.tsp,101,5151,TSP,false,0.5,50,268,268.0,268,1129,1037.3,950,255,255.0,255,1129,628.1428571428571,255
eil101.tsp,101,5151,TSP,false,0.75,75,427,427.0,427,1992,1905.8,1785,408,408.0,408,1992,1122.142857142857,408
eil101.tsp,101,5151,TSP,true,0.25,25,115,115.0,115,439,353.1,297,99,99.0,99,439,220.76190476190476,99
eil101.tsp,101,5151,TSP,true,0.5,50,300,300.0,300,1218,1098.2,989,260,260.0,260,1218,661.047619047619,260
eil101.tsp,101,5151,TSP,true,0.75,75,465,465.0,465,2029,1887.2,1797,437,437.0,437,2029,1128.904761904762,437
eil51.tsp,51,1326,TSP,false,0.25,12,74,74.0,74,129,108.5,98,71,71.0,71,129,89.0,71
eil51.tsp,51,1326,TSP,false,0.5,25,175,175.0,175,457,411.4,355,164,164.0,164,457,282.3333333333333,164
eil51.tsp,51,1326,TSP,false,0.75,38,324,324.0,324,844,812.5,760,279,279.0,279,844,535.1904761904761,279
eil51.tsp,51,1326,TSP,true,0.25,12,100,100.0,100,115,104.4,90,80,79.9,79,115,92.52380952380952,79
eil51.tsp,51,1326,TSP,true,0.5,25,188,188.0,188,470,412.9,366,183,183.0,183,470,292.7142857142857,183
eil51.tsp,51,1326,TSP,true,0.75,38,331,331.0,331,831,786.0,739,288,288.0,288,831,527.1904761904761,288
eil76.tsp,76,2926,TSP,false,0.25,19,111,111.0,111,284,225.6,197,94,94.0,94,284,157.47619047619048,94
eil76.tsp,76,2926,TSP,false,0.5,38,232,232.0,232,824,755.6,692,218,218.0,218,824,474.6666666666667,218
eil76.tsp,76,2926,TSP,false,0.75,57,422,422.0,422,1400,1334.1,1255,350,350.0,350,1400,822.047619047619,350
eil76.tsp,76,2926,TSP,true,0.25,19,117,117.0,117,259,216.1,183,108,107.5,103,259,159.66666666666666,103
eil76.tsp,76,2926,TSP,true,0.5,38,249,249.0,249,734,697.8,650,222,222.0,222,734,449.85714285714283,222
eil76.tsp,76,2926,TSP,true,0.75,57,442,442.0,442,1387,1345.4,1212,363,363.0,363,1387,834.5714285714286,363
fl417.tsp,417,87153,TSP,false,0.25,104,2003,2003.0,2003,93251,89750.9,86902,1876,1876.0,1876,93251,43727.23809523809,1876
fl417.tsp,417,87153,TSP,false,0.5,208,5916,5916.0,5916,213615,204929.5,197612,5753,5753.0,5753,213615,100606.71428571429,5753
fl417.tsp,417,87153,TSP,false,0.75,312,10602,10602.0,10602,333168,324138.6,312257,10439,10439.0,10439,333168,159827.52380952382,10439
fl417.tsp,417,87153,TSP,true,0.25,104,2345,2345.0,2345,96479,89492.8,81269,2345,2345.0,2345,96479,43843.95238095238,2345
fl417.tsp,417,87153,TSP,true,0.5,208,6322,6322.0,6322,213489,207038.0,199918,6218,6218.0,6218,213489,101851.52380952382,6218
fl417.tsp,417,87153,TSP,true,0.75,312,12475,12475.0,12475,327274,322032.5,309856,12326,12326.0,12326,327274,159812.38095238095,12326
fri26.tsp,26,351,TSP,false,0.25,6,108,108.0,108,100,79.3,77,77,77.0,77,108,79.57142857142857,77
fri26.tsp,26,351,TSP,false,0.5,13,279,279.0,279,487,428.2,390,259,259.0,259,487,340.5238095238095,259
fri26.tsp,26,351,TSP,false,0.75,19,453,453.0,453,1028,908.3,790,446,446.0,446,1028,666.4761904761905,446
fri26.tsp,26,351,TSP,true,0.25,6,135,135.0,135,134,98.1,90,88,88.0,88,135,95.04761904761905,88
fri26.tsp,26,351,TSP,true,0.5,13,308,308.0,308,464,416.2,389,291,291.0,291,464,351.42857142857144,291
fri26.tsp,26,351,TSP,true,0.75,19,569,569.0,569,954,920.2,837,515,515.0,515,954,710.5238095238095,515
ft53.atsp,53,2809,ATSP,false,0.25,13,2812,2812.0,2812,2076,1833.5,1588,1138,1138.0,1138,2812,1548.904761904762,1138
ft53.atsp,53,2809,ATSP,false,0.5,26,4552,4552.0,4552,6615,6194.2,5603,3524,3520.6,3494,6615,4842.857142857143,3494
ft53.atsp,53,2809,ATSP,false,0.75,39,6351,6351.0,6351,13632,12669.9,11696,5138,5136.4,5122,13632,8781.619047619048,5122
ft53.atsp,53,2809,ATSP,true,0.25,13,2874,2874.0,2874,2273,1888.6,1636,2130,1920.1,1513,2874,1950.5238095238096,1513
ft53.atsp,53,2809,ATSP,true,0.5,26,4587,4587.0,4587,7316,6126.5,5432,3768,3768.0,3768,7316,4930.0952380952385,3768
ft53.atsp,53,2809,ATSP,true,0.75,39,6560,6560.0,6560,12870,12286.4,11262,5244,5244.0,5244,12870,8660.190476190477,5244
ft70.atsp,70,4900,ATSP,false,0.25,17,10134,10134.0,10134,10650,10166.5,9702,9575,9575.0,9575,10650,9883.285714285714,9575
ft70.atsp,70,4900,ATSP,false,0.5,35,19936,19936.0,19936,27756,26568.8,25823,19898,19878.5,19703,27756,23067.095238095237,19703
ft70.atsp,70,4900,ATSP,false,0.75,52,29964,29964.0,29964,45770,44034.1,43017,29892,29849.5,29664,45770,36609.52380952381,29664
ft70.atsp,70,4900,ATSP,true,0.25,17,10676,10676.0,10676,11258,10105.5,9134,10099,9998.0,9415,11258,10081.47619047619,9134
ft70.atsp,70,4900,ATSP,true,0.5,35,20211,20211.0,20211,28717,27118.5,25605,19951,19951.0,19951,28717,23376.47619047619,19951
ft70.atsp,70,4900,ATSP,true,0.75,52,30313,30313.0,30313,44880,43250.8,41469,29938,29938.0,29938,44880,36295.28571428572,29938
ftv170.atsp,171,29241,ATSP,false,0.25,42,652,652.0,652,4326,3967.8,3683,527,527.0,527,4326,2171.4285714285716,527
ftv170.atsp,171,29241,ATSP,false,0.5,85,1346,1346.0,1346,10405,10092.3,9396,1188,1188.0,1188,10405,5435.666666666667,1188
ftv170.atsp,171,29241,ATSP,false,0.75,128,2089,2089.0,2089,17057,16481.3,15968,2015,2015.0,2015,17057,8907.238095238095,2015
ftv170.atsp,171,29241,ATSP,true,0.25,42,791,791.0,791,4154,3890.7,3468,583,583.0,583,4154,2168.0,583
ftv170.atsp,171,29241,ATSP,true,0.5,85,1519,1519.0,1519,10512,9995.4,9317,1282,1282.0,1282,10512,5442.523809523809,1282
ftv170.atsp,171,29241,ATSP,true,0.75,128,2280,2280.0,2280,16985,16209.9,15597,2049,2049.0,2049,16985,8803.285714285714,2049
ftv33.atsp,34,1156,ATSP,false,0.25,8,126,126.0,126,168,146.2,133,126,126.0,126,168,135.61904761904762,126
ftv33.atsp,34,1156,ATSP,false,0.5,17,613,613.0,613,1030,963.8,881,474,474.0,474,1030,713.8571428571429,474
ftv33.atsp,34,1156,ATSP,false,0.75,25,996,996.0,996,2108,1902.7,1768,796,796.0,796,2108,1332.5238095238096,796
ftv33.atsp,34,1156,ATSP,true,0.25,8,137,137.0,137,173,149.4,141,133,133.0,133,173,141.0,133
ftv33.atsp,34,1156,ATSP,true,0.5,17,669,669.0,669,1022,936.2,851,549,549.0,549,1022,739.0952380952381,549
ftv33.atsp,34,1156,ATSP,true,0.75,25,925,925.0,925,2019,1907.5,1705,839,839.0,839,2019,1351.904761904762,839
ftv35.atsp,36,1296,ATSP,false,0.25,9,198,198.0,198,379,232.6,192,184,183.8,182,379,207.71428571428572,182
ftv35.atsp,36,1296,ATSP,false,0.5,18,567,567.0,567,1243,1156.1,1044,567,567.0,567,1243,847.5238095238095,567
ftv35.atsp,36,1296,ATSP,false,0.75,27,942,942.0,942,2349,2179.5,1934,930,930.0,930,2349,1525.5714285714287,930
ftv35.atsp,36,1296,ATSP,true,0.25,9,334,334.0,334,233,198.8,183,175,175.0,175,334,193.9047619047619,175
ftv35.atsp,36,1296,ATSP,true,0.5,18,663,663.0,663,1155,1064.6,971,608,608.0,608,1155,828.047619047619,608
ftv35.atsp,36,1296,ATSP,true,0.75,27,1110,1110.0,1110,2418,2210.5,1974,1016,1016.0,1016,2418,1589.2857142857142,1016
ftv38.atsp,39,1521,ATSP,false,0.25,9,198,198.0,198,234,198.6,177,140,140.0,140,234,170.66666666666666,140
ftv38.atsp,39,1521,ATSP,false,0.5,19,729,729.0,729,1351,1174.5,1019,531,531.0,531,1351,846.8571428571429,531
ftv38.atsp,39,1521,ATSP,false,0.75,29,1193,1193.0,1193,2525,2427.3,2338,956,956.0,956,2525,1667.904761904762,956
ftv38.atsp,39,1521,ATSP,true,0.25,9,334,334.0,334,250,210.3,183,169,169.0,169,334,196.52380952380952,169
ftv38.atsp,39,1521,ATSP,true,0.5,19,925,925.0,925,1243,1154.4,1076,535,535.0,535,1243,848.5238095238095,535
